1950,24
1974,48
1983,43
1995,39
1939,6
1931,58
1947,48
1936,36
1969,59
1902,16
1987,9
1913,52
1982,10
1915,52
1927,28
1971,30
1971,26
1981,21
1955,53
1942,48
1910,57
1932,34
1973,53
1994,17
1990,10
1990,9
1993,37
1930,51
1905,55
1970,20
1966,15
1976,60
1931,16
1911,13
1938,23
1918,45
1934,12
1951,31
1924,52
1994,56
1926,57
1915,34
1982,11
1956,8
1959,44
1995,52
1942,35
1991,17
1934,34
1954,49
1936,18
1981,5
1967,13
1900,46
1934,39
1995,18
1938,44
1918,27
1992,7
1967,7
1912,51
1928,28
1916,56
1917,57
1940,39
1989,27
1965,10
1900,43
1998,5
1961,30
1959,5
1909,58
1967,56
1918,12
1974,53
1914,24
1971,36
1936,52
1961,27
1920,15
1964,50
1925,18
1949,22
1950,6
1918,23
1933,16
1907,20
1935,32
1931,56
1969,38
1965,58
1922,27
1945,23
1902,27
1950,49
1923,39
1931,5
1973,24
1981,12
1905,11
1921,44
1911,6
1934,41
1945,25
1915,53
1947,59
1982,11
1993,15
1903,30
1955,6
1988,56
1974,54
1927,6
1962,27
1989,49
1961,9
1983,38
1936,41
1973,10
1980,15
1990,34
1923,44
1939,12
1900,12
1974,9
1979,16
1930,37
1957,45
1902,37
1966,18
1974,19
1923,45
1972,28
1977,11
1981,6
1911,20
1919,42
1927,38
1948,31
1924,47
1921,52
1900,50
1996,55
1914,24
1992,30
1997,52
1954,42
1925,29
1985,36
1990,19
1938,39
1939,39
1995,26
1947,35
1956,20
1946,12
1997,35
1969,26
1966,22
1932,34
1942,5
1919,33
1919,33
1921,39
1941,47
1969,9
1991,27
1967,43
1919,56
1901,54
1983,17
1907,29
1956,47
1941,58
1938,20
1902,42
1973,56
1957,39
1998,58
1964,47
1999,8
1931,59
1931,43
1948,10
1968,21
1944,55
1922,22
1970,27
1997,40
1944,48
1936,55
1976,9
1905,54
1971,47
1978,29
1996,47
1926,8
1981,41
1928,35
1954,28
1961,7
1907,11
1908,16
1948,39
1933,50
1981,42
1947,21
1969,59
1962,20
1949,32
1945,25
1916,41
1933,39
1902,29
1984,21
1923,50
1986,43
1994,12
1965,22
1916,58
1927,18
1957,32
1935,50
1914,48
1938,45
1910,23
1956,39
1958,8
1939,26
1961,52
1939,37
1966,9
1915,16
1925,15
1948,42
1983,39
1901,45
1934,28
1927,27
1904,48
1947,54
1991,36
1976,44
1949,27
1946,17
1973,31
1954,29
1948,59
1945,16
1994,37
1923,13
1968,52
1930,28
1974,42
1913,9
1979,21
1983,60
1954,50
1955,14
1969,40
1950,42
1981,34
1996,41
1943,27
1938,51
1958,36
1946,49
1950,50
1986,8
1990,40
1904,19
1956,27
1930,46
1979,38
1914,8
1940,26
1936,25
1930,47
1995,6
1906,9
1929,47
1997,42
1954,53
1915,34
1934,16
1900,50
1900,32
1978,60
1926,59
1930,34
1923,30
1917,30
1922,53
1981,35
1952,12
1943,36
1916,37
1937,54
1982,47
1931,53
1901,58
1959,9
