1229,89
2053,33
1513,87
1681,33
1362,89
1744,97
1170,65
1424,54
1887,115
1310,108
1771,46
1125,61
1665,42
1063,92
2020,41
1977,32
1954,118
1195,57
2090,118
1278,59
1311,102
1891,82
1514,125
1933,49
1458,131
1936,88
1655,80
1045,49
1068,73
1582,64
1738,90
1872,99
1191,117
1633,79
1904,106
1578,55
1747,112
1427,131
2091,105
1848,58
1693,48
1446,119
1272,100
1142,131
1039,119
1934,44
1347,118
1691,66
1710,107
1658,117
1290,43
1984,94
1931,130
1894,112
1571,106
1189,114
1723,107
1027,46
1143,129
1327,61
1397,97
1842,109
1692,37
1773,43
1296,110
1962,70
1664,84
2041,106
1811,115
1891,34
1517,46
1161,98
1060,72
1280,61
1794,48
1466,87
1396,108
1566,83
1069,118
1955,63
1376,44
1590,106
1948,108
1429,61
2086,120
1638,41
1698,32
1862,51
1592,40
1202,130
1793,41
1746,62
1777,54
1757,125
1446,64
1818,61
1182,78
1888,43
2005,33
1300,41
1362,119
1422,48
1065,51
1134,76
1145,72
1507,97
1283,92
1904,93
1888,55
1639,128
1403,95
2044,39
1345,49
1173,83
1882,61
1348,117
1621,33
1819,92
1211,85
1216,48
1876,49
1004,33
1431,129
1499,105
2080,129
1839,38
1230,110
1314,111
1019,113
1159,101
1433,101
1286,48
2070,63
1420,107
1989,59
2096,42
1772,97
2002,70
1648,76
1015,104
1723,74
1689,111
1420,113
1516,52
1190,58
1555,98
1230,82
1068,109
1234,111
1732,112
1255,129
1905,45
1724,54
1832,130
1044,76
2053,87
1549,131
1056,85
1268,49
1946,122
1522,115
1464,108
1390,50
1549,98
1503,120
1325,90
1896,75
1449,88
1677,71
1481,47
2037,102
1023,34
1375,79
1078,111
1232,66
1073,128
1616,68
1656,70
1851,100
2056,47
1526,109
1327,48
2076,98
1922,49
2027,49
1985,47
1703,108
1637,41
1391,34
1342,94
1590,110
2082,100
1178,110
1696,42
1977,69
1323,80
1968,65
1602,131
1687,80
1366,62
1084,43
1120,34
1311,61
2063,125
1826,54
1601,104
1823,124
1743,63
1492,36
1361,89
1617,35
2087,118
1575,33
1587,38
1197,125
1872,32
1838,57
1378,52
1830,34
1401,40
1077,78
1228,87
2049,47
1766,104
1510,85
1590,49
1095,124
1113,87
1744,125
1492,51
1309,51
1712,57
1002,36
1678,103
1619,44
1468,108
1005,131
1312,108
1309,90
1164,115
1007,77
1816,120
2034,107
1183,77
1037,124
1978,93
1768,115
1913,109
1797,104
1098,120
2017,49
1274,33
1102,91
1352,101
1264,131
1299,79
1379,65
1736,74
1463,38
1991,32
2027,114
1395,48
1737,39
1858,106
1890,55
1566,33
1976,41
2041,92
2018,35
1071,48
1759,75
1262,39
1876,87
1990,93
1717,111
2082,70
2066,77
1843,37
1646,37
1333,92
2057,60
1529,116
1997,49
1122,45
1521,33
1118,87
1065,38
1900,68
1767,119
1715,103
1921,70
1081,123
1910,70
1434,50
1219,33
1598,126
1008,63
1956,92
1596,32
1651,73
2007,112
1559,66
1952,52
1693,77
1014,99
1038,101
1602,69
1415,86
1055,49
1597,86
1769,35
1360,48
1610,108
1193,100
1393,110
1873,111
1637,128
1044,111
1604,118
1982,68
1955,44
1668,107
1813,46
1987,37
2047,43
1670,131
1548,63
1081,79
2008,57
1373,83
1510,55
1293,75
1154,32
1705,71
1760,48
1983,81
1047,62
1866,55
1588,41
1803,83
1995,111
1805,74
2085,40
1594,72
1687,49
1872,102
2004,75
1657,60
1056,39
1321,43
1282,83
1783,130
2014,109
1133,34
1804,36
1356,44
1561,57
1729,48
1004,39
1287,109
1650,94
1952,124
2054,121
1102,115
1407,70
1465,120
1774,72
2079,119
1008,93
1299,46
1813,35
1382,38
1328,85
1220,88
1267,67
1687,97
1633,79
1629,129
1769,113
1593,111
1462,84
1425,53
1772,101
2050,111
1457,64
1298,61
1136,59
1589,44
1175,111
1390,106
1055,45
1207,117
1596,38
1832,92
1565,115
1367,70
1463,56
1280,80
1103,35
